x0	y0	x1	y1	name	score
439	36	460	55	bR	99.0%
330	38	350	56	bB	96.1%
78	95	95	114	bP	94.8%
177	94	195	112	bP	94.0%
440	95	460	115	bP	93.8%
277	33	296	52	bK	93.0%
387	96	406	116	bP	92.9%
78	40	93	58	bR	92.9%
124	98	142	116	bP	92.9%
170	153	188	173	bN	92.5%
278	382	298	399	wP	91.5%
229	97	246	116	bP	90.6%
334	95	352	115	bP	90.5%
228	436	246	454	wQ	89.2%
324	319	342	338	bP	88.0%
386	40	405	58	bN	87.6%
74	381	91	398	wP	85.3%
436	385	455	401	wR	80.0%
334	386	354	405	wP	79.0%
179	41	198	62	bB	78.7%
231	379	248	399	wP	71.5%
128	377	145	397	wP	70.1%
175	383	195	401	wP	69.4%
278	434	298	455	wQ	69.0%
228	40	246	57	bQ	62.3%
178	436	194	454	wB	59.4%
440	275	458	296	wP	58.9%
328	440	347	456	wB	58.2%
385	275	406	295	wP	57.8%
78	431	97	451	wN	55.4%
129	434	145	453	wN	38.1%
